player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
6730,Mohsin Khan,Left hand Bat,Left arm Medium fast,Unknown,Mohsin Khan,Mohsin Khan,
22,Rashid Khan,Right hand Bat,Legbreak Googly,Unknown,Rashid Khan Arman,Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463
590,K Rabada,Left hand Bat,Right arm Fast,Unknown,Kagiso Rabada,Kagiso Rabada,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kagiso%20Rabada.png
1424,SN Khan,Right hand Bat,Legbreak,Unknown,Sarfaraz Naushad Khan,Sarfaraz Naushad,
963,MN Samuels,Right hand Bat,Right arm Offbreak,Unknown,Marlon Nathaniel Samuels,Marlon Nathaniel,
53,SB Jakati,Left hand Bat,Slow Left arm Orthodox,Unknown,Shadab Bashir Jakati,Shadab Bashir,
12,DA Warner,Left hand Bat,Legbreak,Unknown,David Andrew Warner,David Andrew,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/David%20Warner.png
73,MP Stoinis,Right hand Bat,Right arm Medium,Unknown,Marcus Peter Stoinis,Marcus Peter,
1119,R Tewatia,Left hand Bat,Legbreak,Unknown,Rahul Tewatia,Rahul Tewatia,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838
268,RA Tripathi,Right hand Bat,Right arm Medium,Unknown,Rahul Ajay Tripathi,Rahul Ajay,
163,RD Chahar,Right hand Bat,Legbreak Googly,Unknown,Rahul Desraj Chahar,Rahul Desraj,
186,S Nadeem,Right hand Bat,Slow Left arm Orthodox,Unknown,Shahbaz Nadeem,Shahbaz Nadeem,
59,MK Pandey,Right hand Bat,Right arm Medium,Unknown,Manish Krishnanand Pandey,Manish Krishnanand,
531,KS Williamson,Right hand Bat,Right arm Offbreak,Unknown,Kane Stuart Williamson,Kane Stuart,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kane%20Williamson.png
